0, 7
1, 7
2, 11
3, 25
4, 55
5, 107
6, 187
7, 301
8, 455
9, 655
10, 907
11, 1217
12, 1591
13, 2035
14, 2555
15, 3157
16, 3847
17, 4631
18, 5515
19, 6505
20, 7607
21, 8827
22, 10171
23, 11645
24, 13255
25, 15007
26, 16907
27, 18961
28, 21175
29, 23555
30, 26107
31, 28837
32, 31751
33, 34855
34, 38155
35, 41657
36, 45367
37, 49291
38, 53435
39, 57805
40, 62407
41, 67247
42, 72331
43, 77665
44, 83255
45, 89107
46, 95227
47, 101621
48, 108295
49, 115255
50, 122507
51, 130057
52, 137911
53, 146075
54, 154555
55, 163357
56, 172487
57, 181951
58, 191755
59, 201905
60, 212407
61, 223267
62, 234491
63, 246085
64, 258055
65, 270407
66, 283147
67, 296281
68, 309815
69, 323755
70, 338107
71, 352877
72, 368071
73, 383695
74, 399755
75, 416257
76, 433207
77, 450611
78, 468475
79, 486805
80, 505607
81, 524887
82, 544651
83, 564905
84, 585655
85, 606907
86, 628667
87, 650941
88, 673735
89, 697055
90, 720907
91, 745297
92, 770231
93, 795715
94, 821755
95, 848357
96, 875527
97, 903271
98, 931595
99, 960505
100, 990007
